Thu Oct 05 08:35:37 2017    prof.txt

         3422957 function calls (3419664 primitive calls) in 5.772 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     4752    1.054    0.000    1.140    0.000 color_diff_matrix.py:114(delta_e_cie2000)
   215600    0.842    0.000    2.305    0.000 numeric.py:2565(array_equal)
   225239    0.647    0.000    0.647    0.000 {method 'reduce' of 'numpy.ufunc' objects}
   666292    0.442    0.000    0.442    0.000 {numpy.core.multiarray.array}
   646865    0.292    0.000    0.700    0.000 numeric.py:463(asarray)
       22    0.234    0.011    2.545    0.116 kmeantools.py:128(kmeans_remove_bg)
       22    0.170    0.008    0.170    0.008 {kmeans}
       66    0.118    0.002    2.158    0.033 kmeantools.py:258(kmeans_distance_master)
   215641    0.105    0.000    0.764    0.000 {method 'all' of 'numpy.ndarray' objects}
     9504    0.089    0.000    0.776    0.000 color_conversions.py:912(convert_color)
     9526    0.079    0.000    0.079    0.000 {cvtColor}
     9504    0.068    0.000    0.284    0.000 color_conversions.py:528(RGB_to_XYZ)
   215641    0.067    0.000    0.660    0.000 _methods.py:40(_all)
       36    0.063    0.002    0.434    0.012 __init__.py:1(<module>)
     9504    0.063    0.000    0.087    0.000 unweighted.py:154(_bidirectional_pred_succ)
   104567    0.061    0.000    0.110    0.000 __init__.py:1343(isEnabledFor)
        1    0.056    0.056    5.774    5.774 test_identify_kmeans.py:1(<module>)
   104567    0.050    0.000    0.050    0.000 __init__.py:1329(getEffectiveLevel)
     9504    0.048    0.000    0.109    0.000 color_conversions.py:28(apply_RGB_matrix)
   104567    0.043    0.000    0.153    0.000 __init__.py:1128(debug)
     9504    0.040    0.000    0.100    0.000 color_conversions.py:439(XYZ_to_Lab)
     9504    0.037    0.000    0.181    0.000 color_conversions.py:108(get_conversion_path)
        1    0.032    0.032    0.032    0.032 {VideoCapture}
     9504    0.032    0.000    0.048    0.000 color_objects.py:435(__init__)
       22    0.030    0.001    0.030    0.001 {method 'read' of 'cv2.VideoCapture' objects}
     9504    0.028    0.000    0.042    0.000 color_objects.py:293(__init__)
     4752    0.024    0.000    1.200    0.000 color_diff.py:74(delta_e_cie2000)
     9504    0.023    0.000    0.023    0.000 color_objects.py:525(__init__)
     9504    0.023    0.000    0.086    0.000 fromnumeric.py:1730(sum)
     9504    0.022    0.000    0.113    0.000 unweighted.py:104(bidirectional_shortest_path)
        1    0.018    0.018    0.018    0.018 blas.py:184(<module>)
       22    0.017    0.001    0.196    0.009 kmeantools.py:180(do_KMEANS)
   163060    0.017    0.000    0.017    0.000 {method 'append' of 'list' objects}
        1    0.016    0.016    0.017    0.017 {cPickle.load}
       22    0.015    0.001    0.015    0.001 {bitwise_and}
    19008    0.015    0.000    0.018    0.000 color_objects.py:89(set_illuminant)
    55212    0.015    0.000    0.015    0.000 {math.pow}
39653/39652    0.015    0.000    0.015    0.000 {isinstance}
     9504    0.014    0.000    0.014    0.000 {numpy.core.multiarray.dot}
    19008    0.013    0.000    0.013    0.000 color_objects.py:73(set_observer)
     9504    0.013    0.000    0.040    0.000 color_objects.py:460(apply_adaptation)
    29067    0.012    0.000    0.012    0.000 {max}
    36217    0.012    0.000    0.012    0.000 {getattr}
        1    0.011    0.011    5.053    5.053 test_identify_kmeans.py:46(Identify)
     9504    0.011    0.000    0.011    0.000 color_objects.py:107(get_illuminant_xyz)
      249    0.011    0.000    0.011    0.000 {compile}
       22    0.011    0.000    0.011    0.000 {inRange}
        4    0.011    0.003    0.138    0.035 __init__.py:4(<module>)
        1    0.010    0.010    0.010    0.010 _decomp_qz.py:1(<module>)
        1    0.010    0.010    0.048    0.048 __init__.py:180(<module>)
     9504    0.009    0.000    0.123    0.000 generic.py:41(shortest_path)
38159/38113    0.009    0.000    0.010    0.000 {issubclass}
   462/99    0.009    0.000    0.024    0.000 sre_parse.py:379(_parse)
      408    0.008    0.000    0.012    0.000 sre_compile.py:207(_optimize_charset)
    19008    0.007    0.000    0.011    0.000 color_conversions.py:92(_normalise_type)
        1    0.007    0.007    0.055    0.055 __init__.py:99(<module>)
        4    0.007    0.002    0.018    0.004 __init__.py:3(<module>)
     4752    0.007    0.000    0.014    0.000 color_diff.py:11(_get_lab_color1_vector)
       22    0.006    0.000    0.006    0.000 {erode}
        1    0.006    0.006    0.095    0.095 __init__.py:106(<module>)
       14    0.006    0.000    0.008    0.001 collections.py:288(namedtuple)
        2    0.006    0.003    0.014    0.007 __init__.py:88(<module>)
     9504    0.006    0.000    0.007    0.000 digraph.py:753(predecessors_iter)
     4752    0.006    0.000    0.013    0.000 color_diff.py:25(_get_lab_color2_matrix)
        2    0.006    0.003    0.048    0.024 __init__.py:86(<module>)
   952/96    0.006    0.000    0.022    0.000 sre_compile.py:32(_compile)
     9701    0.006    0.000    0.006    0.000 {zip}
        1    0.005    0.005    0.054    0.054 __init__.py:634(<module>)
        1    0.005    0.005    0.049    0.049 figure.py:12(<module>)
     9504    0.005    0.000    0.007    0.000 digraph.py:743(successors_iter)
     4752    0.005    0.000    0.005    0.000 {method 'item' of 'numpy.generic' objects}
    14604    0.005    0.000    0.005    0.000 {method 'read' of 'file' objects}
        1    0.005    0.005    0.308    0.308 __init__.py:23(<module>)
     5563    0.005    0.000    0.006    0.000 sre_parse.py:182(__next)
    19008    0.005    0.000    0.005    0.000 graph.py:1215(get_edge_data)
        1    0.005    0.005    0.034    0.034 Image.py:27(<module>)
        1    0.005    0.005    0.040    0.040 axes.py:1(<module>)
        2    0.005    0.002    0.005    0.002 {nt.urandom}
60108/59591    0.005    0.000    0.005    0.000 {len}
     9526    0.005    0.000    0.058    0.000 _methods.py:31(_sum)
    28625    0.005    0.000    0.005    0.000 {method 'lower' of 'str' objects}
      122    0.005    0.000    0.005    0.000 {nt.stat}
        1    0.005    0.005    0.011    0.011 __init__.py:220(<module>)
        2    0.004    0.002    0.018    0.009 pickle.py:845(load)
        1    0.004    0.004    0.011    0.011 contour.py:4(<module>)
       22    0.004    0.000    0.004    0.000 {resize}
        1    0.004    0.004    0.030    0.030 __init__.py:236(<module>)
        1    0.004    0.004    0.046    0.046 gml.py:24(<module>)
       89    0.004    0.000    0.004    0.000 sre_compile.py:258(_mk_bitmap)
        1    0.004    0.004    0.007    0.007 rrule.py:7(<module>)
        1    0.004    0.004    0.090    0.090 backend_bases.py:28(<module>)
        1    0.004    0.004    0.038    0.038 textpath.py:3(<module>)
        1    0.004    0.004    0.004    0.004 lapack.py:437(<module>)
        1    0.004    0.004    0.006    0.006 FixTk.py:1(<module>)
        1    0.004    0.004    0.004    0.004 socket.py:45(<module>)
        1    0.004    0.004    0.010    0.010 urllib.py:23(<module>)
        1    0.003    0.003    0.074    0.074 __init__.py:110(<module>)
        1    0.003    0.003    0.010    0.010 _minimize.py:8(<module>)
        1    0.003    0.003    0.004    0.004 cbook.py:7(<module>)
        2    0.003    0.002    0.012    0.006 __init__.py:45(<module>)
      235    0.003    0.000    0.016    0.000 decorator.py:171(make)
     4752    0.003    0.000    0.009    0.000 type_check.py:459(asscalar)
        1    0.003    0.003    0.003    0.003 _ode.py:39(<module>)
        1    0.003    0.003    0.006    0.006 iterative.py:1(<module>)
        1    0.003    0.003    0.144    0.144 algebraicconnectivity.py:4(<module>)
