Thu Oct 05 09:17:58 2017    prof.txt

         3128204 function calls (3124911 primitive calls) in 5.202 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
   215600    0.852    0.000    2.325    0.000 numeric.py:2565(array_equal)
   234743    0.672    0.000    0.672    0.000 {method 'reduce' of 'numpy.ufunc' objects}
   685336    0.461    0.000    0.461    0.000 {numpy.core.multiarray.array}
     4752    0.357    0.000    0.603    0.000 color_diff_matrix.py:60(delta_e_cmc)
     4752    0.313    0.000    1.574    0.000 kmeantools.py:36(Get)
   646865    0.292    0.000    0.703    0.000 numeric.py:463(asarray)
       22    0.236    0.011    2.567    0.117 kmeantools.py:160(kmeans_remove_bg)
       22    0.165    0.007    0.165    0.007 {kmeans}
     4835    0.114    0.000    0.114    0.000 {method 'keys' of 'dict' objects}
   215641    0.106    0.000    0.770    0.000 {method 'all' of 'numpy.ndarray' objects}
   215641    0.070    0.000    0.664    0.000 _methods.py:40(_all)
     4810    0.069    0.000    0.069    0.000 {cvtColor}
       36    0.063    0.002    0.425    0.012 __init__.py:1(<module>)
        1    0.050    0.050    5.204    5.204 test_identify_kmeans.py:1(<module>)
     4788    0.049    0.000    0.428    0.000 color_conversions.py:912(convert_color)
    19008    0.042    0.000    0.138    0.000 fromnumeric.py:1730(sum)
     4788    0.038    0.000    0.052    0.000 unweighted.py:154(_bidirectional_pred_succ)
     4788    0.038    0.000    0.158    0.000 color_conversions.py:528(RGB_to_XYZ)
        1    0.031    0.031    0.031    0.031 {VideoCapture}
    52691    0.030    0.000    0.056    0.000 __init__.py:1343(isEnabledFor)
    14256    0.030    0.000    0.045    0.000 shape_base.py:63(atleast_2d)
       22    0.028    0.001    0.028    0.001 {method 'read' of 'cv2.VideoCapture' objects}
     4788    0.027    0.000    0.062    0.000 color_conversions.py:28(apply_RGB_matrix)
    52691    0.026    0.000    0.026    0.000 __init__.py:1329(getEffectiveLevel)
     4752    0.024    0.000    0.024    0.000 kmeantools.py:53(Key)
     4788    0.022    0.000    0.054    0.000 color_conversions.py:439(XYZ_to_Lab)
    52691    0.021    0.000    0.078    0.000 __init__.py:1128(debug)
     4788    0.021    0.000    0.105    0.000 color_conversions.py:108(get_conversion_path)
       22    0.018    0.001    0.190    0.009 kmeantools.py:212(do_KMEANS)
39725/39724    0.017    0.000    0.018    0.000 {isinstance}
     4788    0.017    0.000    0.027    0.000 color_objects.py:435(__init__)
     4788    0.016    0.000    0.016    0.000 color_objects.py:525(__init__)
   144356    0.016    0.000    0.016    0.000 {method 'append' of 'list' objects}
     4752    0.016    0.000    0.655    0.000 color_diff.py:87(delta_e_cmc)
       66    0.015    0.000    1.593    0.024 kmeantools.py:301(kmeans_distance_master)
        1    0.015    0.015    0.016    0.016 {cPickle.load}
       22    0.015    0.001    0.015    0.001 {bitwise_and}
        1    0.015    0.015    0.015    0.015 blas.py:184(<module>)
     4788    0.015    0.000    0.023    0.000 color_objects.py:293(__init__)
     4796    0.015    0.000    0.015    0.000 {numpy.core.multiarray.concatenate}
